date,year,month,day,category,amount,description
2019-01-19,2019,1,19,grocery,48.92,
2019-01-19,2019,1,19,hygiene,22.99,
2019-01-20,2019,1,20,travel,10.0,
2019-01-25,2019,1,25,travel,10.0,
2019-01-27,2019,1,27,grocery,34.64,
2019-01-27,2019,1,27,fuel,30.0,
2019-01-27,2019,1,27,travel,10.0,
2019-01-27,2019,1,27,outings,20.0,
2019-02-01,2019,2,1,grocery,1.85,
2019-02-01,2019,2,1,travel,17.55,
2019-02-03,2019,2,3,travel,18.5,
2019-02-04,2019,2,4,grocery,9.55,
2019-02-05,2019,2,5,grocery,1.85,
2019-02-06,2019,2,6,grocery,7.47,
2019-02-07,2019,2,7,grocery,1.85,
2019-02-08,2019,2,8,grocery,1.85,
2019-02-09,2019,2,9,outings,5.0,
2019-02-10,2019,2,10,grocery,32.36,
2019-02-10,2019,2,10,other,45.96,sapatilhas e meias
2019-02-11,2019,2,11,grocery,2.45,
2019-02-12,2019,2,12,grocery,1.75,
2019-02-13,2019,2,13,grocery,1.75,
2019-02-14,2019,2,14,grocery,1.75,
2019-02-15,2019,2,15,grocery,0.25,
2019-02-15,2019,2,15,fuel,20.0,
2019-02-15,2019,2,15,travel,10.0,
2019-02-15,2019,2,15,outings,1.65,
2019-02-16,2019,2,16,outings,5.3,
2019-02-17,2019,2,17,fuel,40.0,
2019-02-17,2019,2,17,travel,10.0,
2019-02-18,2019,2,18,grocery,1.75,
2019-02-19,2019,2,19,grocery,1.75,
2019-02-20,2019,2,20,grocery,4.4,
2019-02-20,2019,2,20,travel,6.73,
2019-02-20,2019,2,20,other,42.12,hospital+farmácia
2019-02-21,2019,2,21,grocery,0.7,
2019-02-22,2019,2,22,grocery,0.7,
2019-02-23,2019,2,23,grocery,16.5,
2019-02-24,2019,2,24,grocery,24.1,
2019-02-24,2019,2,24,other,7.0,boxers
2019-02-25,2019,2,25,grocery,0.7,
2019-02-26,2019,2,26,grocery,0.7,
2019-02-27,2019,2,27,grocery,1.15,
2019-02-28,2019,2,28,grocery,1.0,
2019-03-01,2019,3,1,grocery,12.0,
2019-03-01,2019,3,1,travel,19.51,
2019-03-01,2019,3,1,outings,7.75,
2019-03-02,2019,3,2,grocery,8.0,
2019-03-02,2019,3,2,fuel,20.0,
2019-03-02,2019,3,2,outings,15.0,
2019-03-02,2019,3,2,other,15.9,fato carnaval garrafa
2019-03-03,2019,3,3,travel,18.5,
2019-03-04,2019,3,4,grocery,0.45,
2019-03-05,2019,3,5,grocery,0.9,
2019-03-06,2019,3,6,grocery,1.4,
2019-03-07,2019,3,7,grocery,0.65,
2019-03-08,2019,3,8,grocery,20.65,
2019-03-08,2019,3,8,outings,3.0,
2019-03-08,2019,3,8,other,20.0,poker
2019-03-09,2019,3,9,grocery,16.55,
2019-03-09,2019,3,9,other,2.25,tuppware
2019-03-10,2019,3,10,outings,2.0,
2019-03-11,2019,3,11,grocery,1.15,
2019-03-11,2019,3,11,fuel,20.0,
2019-03-12,2019,3,12,grocery,0.55,
2019-03-13,2019,3,13,grocery,1.15,
2019-03-13,2019,3,13,other,50.0,dentista
2019-03-14,2019,3,14,grocery,0.7,
2019-03-15,2019,3,15,travel,10.0,
2019-03-15,2019,3,15,outings,3.7,
2019-03-16,2019,3,16,outings,9.7,
2019-03-17,2019,3,17,fuel,40.0,
2019-03-17,2019,3,17,travel,10.0,
2019-03-17,2019,3,17,outings,1.7,
2019-03-18,2019,3,18,grocery,3.6,
2019-03-18,2019,3,18,hygiene,6.0,
2019-03-19,2019,3,19,grocery,1.4,
2019-03-20,2019,3,20,grocery,0.7,
2019-03-21,2019,3,21,grocery,1.4,
2019-03-22,2019,3,22,grocery,1.15,
2019-03-22,2019,3,22,outings,1.0,
2019-03-23,2019,3,23,grocery,8.28,
2019-03-24,2019,3,24,outings,1.3,
2019-03-25,2019,3,25,grocery,9.02,
2019-03-25,2019,3,25,other,3.0,jornal
2019-03-26,2019,3,26,grocery,0.6,
2019-03-26,2019,3,26,other,10.91,futsal
2019-03-27,2019,3,27,grocery,5.24,
2019-03-28,2019,3,28,grocery,0.7,
2019-03-28,2019,3,28,outings,1.0,
2019-03-29,2019,3,29,grocery,6.45,
2019-03-29,2019,3,29,outings,2.4,
2019-03-30,2019,3,30,grocery,0.25,
2019-03-31,2019,3,31,grocery,14.83,
2019-03-31,2019,3,31,hygiene,3.79,
2019-05-01,2019,5,1,outings,2.2,
2019-05-01,2019,5,1,other,4.99,calções
2019-05-02,2019,5,2,grocery,0.7,
2019-05-02,2019,5,2,outings,1.1,
