year,month,renda,algt,total
2019,1,814.76,0,814.76
2019,2,1832.0,0,1832.0
2019,3,1832.0,0,1832.0
2019,5,1892.8,0,1892.8
2019,4,2120.0,0,2120.0
2019,6,1833.0,0,1833.0
2019,7,3684.3,0,3684.3
2019,8,1883.5,0,1883.5
2019,9,1894.52,0,1894.52
2019,10,1890.0,0,1890.0
2019,11,3639,0,3639
2019,12,2296.6,0,2296.6
2020,1,217,1873.7,2090.7
2020,2,217,2127.56,2344.56
2020,3,217,1880.0,2097.0
2020,4,217,3082.0,3299.0
2020,5,217,2190.52,2407.52
2020,6,217,1817.42,2034.42
2020,7,250,3745.0,3995.0
2020,8,250,1879.0,2129.0
2020,9,250,1885.0,2135.0
2020,10,250,1958.21,2208.21
2020,11,250,3866.5,4116.5
2020,12,250,3104.88,3354.88
2021,1,250,2017.77,2267.77
2021,2,250,2311.38,2561.38
2021,3,250,2317.9,2567.9
2021,4,250,2703.01,2953.01
2021,5,250,2350.2,2600.2
2021,6,217,1968.16,2185.16
2021,7,217,4054.78,4271.78
2021,8,217,1969.08,2186.08
2021,9,217,2715.45,2932.45
2021,10,217,2017.01,2234.01
2021,11,217,3992.0,4209.0
2021,12,217,4286.43,4503.43
